customer_id,customer_name,email,phone,address,country,country_id,type,opening_balance
CUID_0001,Hoang Minh Dung,hoangminhdung@proton.me,+84504025016,"568 Dinh Tien Hoang, Phuong 8, Quan Phu Nhuan, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0002,Cong ty TNHH Net Future,congtytnhhnetfuture@proton.me,+84719300868,"757 Nguyen Thi Minh Khai, Phuong 15, Quan 3, TP. Ho Chi Minh",Vietnam,VN,company,0
CUID_0003,Dang Ngoc Oanh,dangngocoanh71@zoho.com,+84967988348,"176 Cach Mang Thang Tam, Phuong 11, Quan 7, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0004,Cong ty Co phan Asia Future,congtycophanasiafuture@zoho.com,+84342962370,"851 Nguyen Van Cu, Phuong 11, Quan Tan Binh, TP. Ho Chi Minh",Vietnam,VN,company,0
CUID_0005,Bui Nam,buinam@yahoo.com,+84886117574,"607 Dinh Tien Hoang, Phuong 11, Quan 7, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0006,Vu Van Dung,vuvandung@yahoo.com,+84853542596,"127 Vo Van Tan, Phuong 10, Quan Binh Thanh, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0007,Vu Duc Linh,vuduclinh@zoho.com,+84598266175,"807 Vo Van Tan, Phuong 1, Quan Go Vap, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0008,Ly Bao Minh,lybaominh899@yahoo.com,+84590407714,"572 Tran Hung Dao, Phuong 10, Thanh pho Thu Duc, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0009,Pham Hung,phamhung687@proton.me,+84745123522,"82 Nguyen Van Cu, Phuong 8, Quan 3, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0010,Cong ty Co phan Global An,congtycophanglobalan@hotmail.com,+84357852440,"684 Dinh Tien Hoang, Phuong 11, Quan Tan Binh, TP. Ho Chi Minh",Vietnam,VN,company,0
CUID_0011,Cong ty TNHH Future Smart,congtytnhhfuturesmart@gmail.com,+84781151148,"87 Nguyen Thi Minh Khai, Phuong 15, Quan 3, TP. Ho Chi Minh",Vietnam,VN,company,0
CUID_0012,Cong ty TNHH Media An,congtytnhhmediaan@yahoo.com,+84824039274,"443 Vo Van Tan, Phuong 14, Quan 5, TP. Ho Chi Minh",Vietnam,VN,company,0
CUID_0013,Nguyen Hong Binh,nguyenhongbinh51@proton.me,+84549505800,"892 Nguyen Hue, Phuong 13, Quan 3, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0014,Bui Thanh Chi,buithanhchi@outlook.com,+84559272362,"333 Le Loi, Phuong 1, Quan Phu Nhuan, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0015,Tran Thanh Van,tranthanhvan357@hotmail.com,+84983187696,"18 Vo Van Tan, Phuong 10, Quan 3, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0016,Tran Xuan,tranxuan619@yahoo.com,+84372624980,"443 Pham Ngoc Thach, Phuong 1, Quan 1, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0017,Hoang Thi Xuan,hoangthixuan@proton.me,+84919610354,"52 Pham Ngoc Thach, Phuong 11, Quan 1, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0018,Pham Quoc Xuan,phamquocxuan@outlook.com,+84392171419,"811 Dinh Tien Hoang, Phuong 8, Quan 10, TP. Ho Chi Minh",Vietnam,VN,person,0
CUID_0019,Giai phap Star Solutions,giaiphapstarsolutions836@outlook.com,+84838826320,"801 Pham Ngoc Thach, Phuong 11, Thanh pho Thu Duc, TP. Ho Chi Minh",Vietnam,VN,company,0
CUID_0020,Thuong mai Digital Media,thuongmaidigitalmedia@gmail.com,+84719214736,"533 Le Loi, Phuong 13, Quan Go Vap, TP. Ho Chi Minh",Vietnam,VN,company,0
